date,death,deathIncrease,inIcuCumulative,inIcuCurrently,hospitalizedIncrease,hospitalizedCurrently,hospitalizedCumulative,negative,negativeIncrease,onVentilatorCumulative,onVentilatorCurrently,positive,positiveIncrease,states,totalTestResults,totalTestResultsIncrease
March (2021),3571866,11904,316848,62566,10607,306901,5405727,518158270,1366401,29872,20909,200084809,405300,392,2516692818,9841206
February (2021),13240568,71058,1219661,395543,61054,1930850,20714612,1971158532,6044941,116015,128960,766103297,2374243,1568,9351034941,42096834
January (2021),11931561,95387,1229390,697074,120837,3743799,20134520,1954161510,8527310,119330,231906,722878471,6112572,1736,8794383655,57637164
December (2020),9269261,77112,1056990,665027,126244,3467428,16262903,1688751783,8143547,107538,234228,522459627,6323266,1736,7061253472,55777321
November (2020),7206395,37065,823889,428909,92675,2168935,12283586,1374782959,9225202,90086,128835,336941092,4475991,1680,5221247701,48126241
October (2020),6528270,23545,690123,235508,53485,1173562,10414102,1161661222,7522627,78976,58676,248879799,1892015,1736,4088807843,36566898
September (2020),5648154,23329,568286,192272,37446,935831,8799572,912266785,6684185,62625,51288,197441612,1192663,1680,2995636199,27530527
August (2020),5012258,30244,493679,274466,61146,1392199,7723933,734434580,7136506,51727,74602,165003108,1457213,1736,2290408313,25498993
July (2020),4071555,25249,378226,291224,63105,1613867,5535849,500380495,7684224,37211,73163,110431975,1900180,1736,1480437069,25787479
June (2020),3356899,19475,287405,211712,31513,926523,4038095,279965519,5772802,25398,82814,64577037,831597,1680,787155935,16762678
May (2020),2587858,41180,208345,340858,73150,1375940,2561872,131198585,4171471,17754,159333,45273840,718205,1736,373562860,11513568
April (2020),940601,55273,55027,375098,38398,1510437,785028,43084576,1843007,4929,136194,19610160,876279,1680,111984593,5502666
March (2020),20723,4325,1002,14295,6701,97142,32237,2795093,460602,0,2496,1206666,196947,1492,8655827,1176993
February (2020),13,5,0,0,0,0,0,0,0,0,0,202,16,155,20179,6547
